guid,radical,radical number,numbers of strokes,alternative,meaning,reading,tags
w4(IpWCHH?,尢,43,3,尤、尣<br>Example: 就,Lame,まげあし・だいのまげあし・あう・おうにょう,Japanese::Kanji::Radicals
eXk!TNZsaE,瓦,98,5,(None)<br>Example: 瓧 瓮 甄,Tile,かわら,Japanese::Kanji::Radicals
yCN_(|1yIV,耒,127,6,(None)<br>Example: 耔 耝 耨 耰,Plow,すき・すきへん・らいすき・らいへん,Japanese::Kanji::Radicals
JY@n;cPYDX,豸,153,7,(None)<br>Example: 豹 貌 貓 貉,"Cat, Badger",むじな・むじなへん,Japanese::Kanji::Radicals
HQ0Szid/)],黍,202,12,(None)<br>Example: 黏 黎,Millet,きび,Japanese::Kanji::Radicals
pmEKm<p~[8,鼓,207,13,(None)<br>Example: 鼗 鼘,Drum,つづみ,Japanese::Kanji::Radicals
u|J}ht;Hse,鹵,197,11,(None)<br>Example: 鹹 鹼 鹽,Salt,ろ・しお・しおへん,Japanese::Kanji::Radicals
v3n/(xTnO3,髟,190,10,(None)<br>Example: 髮 鬚 鬆 鬍 髦,Hair,かみがしら・かみかんむり,Japanese::Kanji::Radicals
M-BCzo?DX&,黽,205,13,(None)<br>Example: 黿 鼈,"Frog, Amphibian",おおがえる・べん・ぼう・ひきがえる,Japanese::Kanji::Radicals
uu^.v@*f3c,曰,73,4,(None)<br>Example: 書 最 晉 曷 曹 曾,Say,ひらび・いわく,Japanese::Kanji::Radicals
zN&jUM:Ue?,麻,200,11,(None)<br>Example: 麼 魔,"Hemp, Flax",あさ・あさかんむり,Japanese::Kanji::Radicals
"o2sXJ,TRiT",而,126,6,(None)<br>Example: 耎耐耑,"Rake, Beard",しかし・しかして・しこうして,Japanese::Kanji::Radicals
z@{|]CTGkm,韭,179,9,(None)<br>Example: 韱 韲,Leek,にら,Japanese::Kanji::Radicals
h-9Qo]}ZHb,龠,214,17,(None)<br>Example: 龣,Flute,やく・やくのふえ,Japanese::Kanji::Radicals
NBh1_s]W%<,爻,89,4,(None)<br>Example: 爼 爽 爾,"Mix, Twine, Cross",こう・めめ,Japanese::Kanji::Radicals
B!qw3!.n;L,釆,165,7,(None)<br>Example: 釉 釋,"Divide, Distinguish, Choose",のごめ・のごめへん,Japanese::Kanji::Radicals
n_/Z>FB7kj,鼎,206,13,(None)<br>Example: 鼏 鼒,Sacrificial Tripod,かなえ・てい,Japanese::Kanji::Radicals
EB7sc^=>~+,禸,114,5,(None)<br>Example: 禹 禺 禽,Track,あしあと・ぐうのあし,Japanese::Kanji::Radicals
"v5,Kz4W1}0",鬯,192,10,(None)<br>Example: 鬰 鬱,"Herbs, Sacrificial Wine",ちょう・においざけ・かおりぐさ,Japanese::Kanji::Radicals
vC#.qqILx(,黹,204,12,(None)<br>Example: 黼 黻,"Embroidery, Needlework",ち・ぬいとり,Japanese::Kanji::Radicals
HUMOm>kcmO,夊,35,3,(None)<Br />Example:,Winter Variant,なつあし・すいにょう,Japanese::Kanji::Radicals
